X1,X2,X3,X4,X5,X6,X7,X8,Y2
0.98,514.50,294.00,110.25,7.00,2,0.00,0,21.33
0.98,514.50,294.00,110.25,7.00,3,0.00,0,21.33
0.98,514.50,294.00,110.25,7.00,4,0.00,0,21.33
0.98,514.50,294.00,110.25,7.00,5,0.00,0,21.33
0.90,563.50,318.50,122.50,7.00,2,0.00,0,28.28
0.90,563.50,318.50,122.50,7.00,3,0.00,0,25.38
0.90,563.50,318.50,122.50,7.00,4,0.00,0,25.16
0.90,563.50,318.50,122.50,7.00,5,0.00,0,29.60
0.86,588.00,294.00,147.00,7.00,2,0.00,0,27.30
0.86,588.00,294.00,147.00,7.00,3,0.00,0,21.97
0.86,588.00,294.00,147.00,7.00,4,0.00,0,23.49
0.86,588.00,294.00,147.00,7.00,5,0.00,0,27.87
0.82,612.50,318.50,147.00,7.00,2,0.00,0,23.77
0.82,612.50,318.50,147.00,7.00,3,0.00,0,21.46
0.82,612.50,318.50,147.00,7.00,4,0.00,0,21.16
0.82,612.50,318.50,147.00,7.00,5,0.00,0,24.93
0.79,637.00,343.00,147.00,7.00,2,0.00,0,37.73
0.79,637.00,343.00,147.00,7.00,3,0.00,0,31.27
0.79,637.00,343.00,147.00,7.00,4,0.00,0,30.93
0.79,637.00,343.00,147.00,7.00,5,0.00,0,39.44
0.76,661.50,416.50,122.50,7.00,2,0.00,0,29.79
0.76,661.50,416.50,122.50,7.00,3,0.00,0,29.68
0.76,661.50,416.50,122.50,7.00,4,0.00,0,29.79
0.76,661.50,416.50,122.50,7.00,5,0.00,0,29.40
0.74,686.00,245.00,220.50,3.50,2,0.00,0,10.90
0.74,686.00,245.00,220.50,3.50,3,0.00,0,11.19
0.74,686.00,245.00,220.50,3.50,4,0.00,0,10.94
0.74,686.00,245.00,220.50,3.50,5,0.00,0,11.17
0.71,710.50,269.50,220.50,3.50,2,0.00,0,11.27
0.71,710.50,269.50,220.50,3.50,3,0.00,0,11.72
0.71,710.50,269.50,220.50,3.50,4,0.00,0,11.29
0.71,710.50,269.50,220.50,3.50,5,0.00,0,11.67
0.69,735.00,294.00,220.50,3.50,2,0.00,0,11.74
0.69,735.00,294.00,220.50,3.50,3,0.00,0,12.05
0.69,735.00,294.00,220.50,3.50,4,0.00,0,11.73
0.69,735.00,294.00,220.50,3.50,5,0.00,0,11.93
0.66,759.50,318.50,220.50,3.50,2,0.00,0,12.40
0.66,759.50,318.50,220.50,3.50,3,0.00,0,12.23
0.66,759.50,318.50,220.50,3.50,4,0.00,0,12.40
0.66,759.50,318.50,220.50,3.50,5,0.00,0,12.14
0.64,784.00,343.00,220.50,3.50,2,0.00,0,16.78
0.64,784.00,343.00,220.50,3.50,3,0.00,0,16.80
0.64,784.00,343.00,220.50,3.50,4,0.00,0,16.75
0.64,784.00,343.00,220.50,3.50,5,0.00,0,16.67
0.62,808.50,367.50,220.50,3.50,2,0.00,0,12.07
0.62,808.50,367.50,220.50,3.50,3,0.00,0,12.22
0.62,808.50,367.50,220.50,3.50,4,0.00,0,12.08
0.62,808.50,367.50,220.50,3.50,5,0.00,0,12.04
0.98,514.50,294.00,110.25,7.00,2,0.10,1,26.47
0.98,514.50,294.00,110.25,7.00,3,0.10,1,26.37
0.98,514.50,294.00,110.25,7.00,4,0.10,1,26.44
0.98,514.50,294.00,110.25,7.00,5,0.10,1,26.29
0.90,563.50,318.50,122.50,7.00,2,0.10,1,32.92
0.90,563.50,318.50,122.50,7.00,3,0.10,1,29.87
0.90,563.50,318.50,122.50,7.00,4,0.10,1,29.58
0.90,563.50,318.50,122.50,7.00,5,0.10,1,34.33
0.86,588.00,294.00,147.00,7.00,2,0.10,1,30.89
0.86,588.00,294.00,147.00,7.00,3,0.10,1,25.60
0.86,588.00,294.00,147.00,7.00,4,0.10,1,27.03
0.86,588.00,294.00,147.00,7.00,5,0.10,1,31.73
0.82,612.50,318.50,147.00,7.00,2,0.10,1,27.31
0.82,612.50,318.50,147.00,7.00,3,0.10,1,24.91
0.82,612.50,318.50,147.00,7.00,4,0.10,1,24.61
0.82,612.50,318.50,147.00,7.00,5,0.10,1,28.51
0.79,637.00,343.00,147.00,7.00,2,0.10,1,41.68
0.79,637.00,343.00,147.00,7.00,3,0.10,1,35.28
0.79,637.00,343.00,147.00,7.00,4,0.10,1,34.43
0.79,637.00,343.00,147.00,7.00,5,0.10,1,43.33
0.76,661.50,416.50,122.50,7.00,2,0.10,1,33.87
0.76,661.50,416.50,122.50,7.00,3,0.10,1,34.07
0.76,661.50,416.50,122.50,7.00,4,0.10,1,34.14
0.76,661.50,416.50,122.50,7.00,5,0.10,1,33.67
0.74,686.00,245.00,220.50,3.50,2,0.10,1,13.43
0.74,686.00,245.00,220.50,3.50,3,0.10,1,13.71
0.74,686.00,245.00,220.50,3.50,4,0.10,1,13.48
0.74,686.00,245.00,220.50,3.50,5,0.10,1,13.70
0.71,710.50,269.50,220.50,3.50,2,0.10,1,13.80
0.71,710.50,269.50,220.50,3.50,3,0.10,1,14.28
0.71,710.50,269.50,220.50,3.50,4,0.10,1,13.87
0.71,710.50,269.50,220.50,3.50,5,0.10,1,14.27
0.69,735.00,294.00,220.50,3.50,2,0.10,1,14.28
0.69,735.00,294.00,220.50,3.50,3,0.10,1,14.61
0.69,735.00,294.00,220.50,3.50,4,0.10,1,14.30
0.69,735.00,294.00,220.50,3.50,5,0.10,1,14.45
0.66,759.50,318.50,220.50,3.50,2,0.10,1,13.90
0.66,759.50,318.50,220.50,3.50,3,0.10,1,13.72
0.66,759.50,318.50,220.50,3.50,4,0.10,1,13.88
0.66,759.50,318.50,220.50,3.50,5,0.10,1,13.65
0.64,784.00,343.00,220.50,3.50,2,0.10,1,19.37
0.64,784.00,343.00,220.50,3.50,3,0.10,1,19.43
0.64,784.00,343.00,220.50,3.50,4,0.10,1,19.34
0.64,784.00,343.00,220.50,3.50,5,0.10,1,19.32
0.62,808.50,367.50,220.50,3.50,2,0.10,1,14.34
0.62,808.50,367.50,220.50,3.50,3,0.10,1,14.50
0.62,808.50,367.50,220.50,3.50,4,0.10,1,14.33
0.62,808.50,367.50,220.50,3.50,5,0.10,1,14.27
0.98,514.50,294.00,110.25,7.00,2,0.10,2,25.95
0.98,514.50,294.00,110.25,7.00,3,0.10,2,25.63
0.98,514.50,294.00,110.25,7.00,4,0.10,2,26.13
0.98,514.50,294.00,110.25,7.00,5,0.10,2,25.89
0.90,563.50,318.50,122.50,7.00,2,0.10,2,32.54
0.90,563.50,318.50,122.50,7.00,3,0.10,2,29.44
0.90,563.50,318.50,122.50,7.00,4,0.10,2,29.36
0.90,563.50,318.50,122.50,7.00,5,0.10,2,34.20
0.86,588.00,294.00,147.00,7.00,2,0.10,2,30.91
0.86,588.00,294.00,147.00,7.00,3,0.10,2,25.63
0.86,588.00,294.00,147.00,7.00,4,0.10,2,27.36
0.86,588.00,294.00,147.00,7.00,5,0.10,2,31.90
0.82,612.50,318.50,147.00,7.00,2,0.10,2,27.38
0.82,612.50,318.50,147.00,7.00,3,0.10,2,25.02
0.82,612.50,318.50,147.00,7.00,4,0.10,2,24.80
0.82,612.50,318.50,147.00,7.00,5,0.10,2,28.79
0.79,637.00,343.00,147.00,7.00,2,0.10,2,41.07
0.79,637.00,343.00,147.00,7.00,3,0.10,2,34.62
0.79,637.00,343.00,147.00,7.00,4,0.10,2,33.87
0.79,637.00,343.00,147.00,7.00,5,0.10,2,42.86
0.76,661.50,416.50,122.50,7.00,2,0.10,2,33.91
0.76,661.50,416.50,122.50,7.00,3,0.10,2,34.07
0.76,661.50,416.50,122.50,7.00,4,0.10,2,34.17
0.76,661.50,416.50,122.50,7.00,5,0.10,2,33.78
0.74,686.00,245.00,220.50,3.50,2,0.10,2,13.39
0.74,686.00,245.00,220.50,3.50,3,0.10,2,13.72
0.74,686.00,245.00,220.50,3.50,4,0.10,2,13.57
0.74,686.00,245.00,220.50,3.50,5,0.10,2,13.79
0.71,710.50,269.50,220.50,3.50,2,0.10,2,13.67
0.71,710.50,269.50,220.50,3.50,3,0.10,2,14.11
0.71,710.50,269.50,220.50,3.50,4,0.10,2,13.80
0.71,710.50,269.50,220.50,3.50,5,0.10,2,14.21
0.69,735.00,294.00,220.50,3.50,2,0.10,2,13.20
0.69,735.00,294.00,220.50,3.50,3,0.10,2,13.54
0.69,735.00,294.00,220.50,3.50,4,0.10,2,13.32
0.69,735.00,294.00,220.50,3.50,5,0.10,2,13.51
0.66,759.50,318.50,220.50,3.50,2,0.10,2,14.86
0.66,759.50,318.50,220.50,3.50,3,0.10,2,14.75
0.66,759.50,318.50,220.50,3.50,4,0.10,2,15.00
0.66,759.50,318.50,220.50,3.50,5,0.10,2,14.74
0.64,784.00,343.00,220.50,3.50,2,0.10,2,19.23
0.64,784.00,343.00,220.50,3.50,3,0.10,2,19.34
0.64,784.00,343.00,220.50,3.50,4,0.10,2,19.32
0.64,784.00,343.00,220.50,3.50,5,0.10,2,19.30
0.62,808.50,367.50,220.50,3.50,2,0.10,2,14.37
0.62,808.50,367.50,220.50,3.50,3,0.10,2,14.57
0.62,808.50,367.50,220.50,3.50,4,0.10,2,14.27
0.62,808.50,367.50,220.50,3.50,5,0.10,2,14.24
0.98,514.50,294.00,110.25,7.00,2,0.10,3,25.68
0.98,514.50,294.00,110.25,7.00,3,0.10,3,26.02
0.98,514.50,294.00,110.25,7.00,4,0.10,3,25.84
0.98,514.50,294.00,110.25,7.00,5,0.10,3,26.14
0.90,563.50,318.50,122.50,7.00,2,0.10,3,34.14
0.90,563.50,318.50,122.50,7.00,3,0.10,3,32.85
0.90,563.50,318.50,122.50,7.00,4,0.10,3,30.08
0.90,563.50,318.50,122.50,7.00,5,0.10,3,29.67
0.86,588.00,294.00,147.00,7.00,2,0.10,3,31.73
0.86,588.00,294.00,147.00,7.00,3,0.10,3,31.01
0.86,588.00,294.00,147.00,7.00,4,0.10,3,25.90
0.86,588.00,294.00,147.00,7.00,5,0.10,3,27.40
0.82,612.50,318.50,147.00,7.00,2,0.10,3,28.68
0.82,612.50,318.50,147.00,7.00,3,0.10,3,27.54
0.82,612.50,318.50,147.00,7.00,4,0.10,3,25.35
0.82,612.50,318.50,147.00,7.00,5,0.10,3,24.93
0.79,637.00,343.00,147.00,7.00,2,0.10,3,43.12
0.79,637.00,343.00,147.00,7.00,3,0.10,3,41.22
0.79,637.00,343.00,147.00,7.00,4,0.10,3,35.10
0.79,637.00,343.00,147.00,7.00,5,0.10,3,34.29
0.76,661.50,416.50,122.50,7.00,2,0.10,3,33.85
0.76,661.50,416.50,122.50,7.00,3,0.10,3,34.11
0.76,661.50,416.50,122.50,7.00,4,0.10,3,34.48
0.76,661.50,416.50,122.50,7.00,5,0.10,3,34.50
0.74,686.00,245.00,220.50,3.50,2,0.10,3,13.60
0.74,686.00,245.00,220.50,3.50,3,0.10,3,13.36
0.74,686.00,245.00,220.50,3.50,4,0.10,3,13.65
0.74,686.00,245.00,220.50,3.50,5,0.10,3,13.49
0.71,710.50,269.50,220.50,3.50,2,0.10,3,14.14
0.71,710.50,269.50,220.50,3.50,3,0.10,3,13.77
0.71,710.50,269.50,220.50,3.50,4,0.10,3,14.30
0.71,710.50,269.50,220.50,3.50,5,0.10,3,13.87
0.69,735.00,294.00,220.50,3.50,2,0.10,3,14.44
0.69,735.00,294.00,220.50,3.50,3,0.10,3,14.27
0.69,735.00,294.00,220.50,3.50,4,0.10,3,14.67
0.69,735.00,294.00,220.50,3.50,5,0.10,3,14.40
0.66,759.50,318.50,220.50,3.50,2,0.10,3,13.46
0.66,759.50,318.50,220.50,3.50,3,0.10,3,13.70
0.66,759.50,318.50,220.50,3.50,4,0.10,3,13.59
0.66,759.50,318.50,220.50,3.50,5,0.10,3,13.83
0.64,784.00,343.00,220.50,3.50,2,0.10,3,19.14
0.64,784.00,343.00,220.50,3.50,3,0.10,3,19.18
0.64,784.00,343.00,220.50,3.50,4,0.10,3,19.37
0.64,784.00,343.00,220.50,3.50,5,0.10,3,19.29
0.62,808.50,367.50,220.50,3.50,2,0.10,3,14.09
0.62,808.50,367.50,220.50,3.50,3,0.10,3,14.23
0.62,808.50,367.50,220.50,3.50,4,0.10,3,14.14
0.62,808.50,367.50,220.50,3.50,5,0.10,3,13.89
0.98,514.50,294.00,110.25,7.00,2,0.10,4,25.91
0.98,514.50,294.00,110.25,7.00,3,0.10,4,25.72
0.98,514.50,294.00,110.25,7.00,4,0.10,4,26.18
0.98,514.50,294.00,110.25,7.00,5,0.10,4,25.87
0.90,563.50,318.50,122.50,7.00,2,0.10,4,29.34
0.90,563.50,318.50,122.50,7.00,3,0.10,4,33.91
0.90,563.50,318.50,122.50,7.00,4,0.10,4,32.83
0.90,563.50,318.50,122.50,7.00,5,0.10,4,29.92
0.86,588.00,294.00,147.00,7.00,2,0.10,4,27.17
0.86,588.00,294.00,147.00,7.00,3,0.10,4,31.76
0.86,588.00,294.00,147.00,7.00,4,0.10,4,31.06
0.86,588.00,294.00,147.00,7.00,5,0.10,4,25.81
0.82,612.50,318.50,147.00,7.00,2,0.10,4,24.61
0.82,612.50,318.50,147.00,7.00,3,0.10,4,28.61
0.82,612.50,318.50,147.00,7.00,4,0.10,4,27.57
0.82,612.50,318.50,147.00,7.00,5,0.10,4,25.16
0.79,637.00,343.00,147.00,7.00,2,0.10,4,34.25
0.79,637.00,343.00,147.00,7.00,3,0.10,4,43.30
0.79,637.00,343.00,147.00,7.00,4,0.10,4,41.86
0.79,637.00,343.00,147.00,7.00,5,0.10,4,35.29
0.76,661.50,416.50,122.50,7.00,2,0.10,4,34.11
0.76,661.50,416.50,122.50,7.00,3,0.10,4,33.62
0.76,661.50,416.50,122.50,7.00,4,0.10,4,33.89
0.76,661.50,416.50,122.50,7.00,5,0.10,4,34.05
0.74,686.00,245.00,220.50,3.50,2,0.10,4,13.20
0.74,686.00,245.00,220.50,3.50,3,0.10,4,13.36
0.74,686.00,245.00,220.50,3.50,4,0.10,4,13.21
0.74,686.00,245.00,220.50,3.50,5,0.10,4,13.53
0.71,710.50,269.50,220.50,3.50,2,0.10,4,13.67
0.71,710.50,269.50,220.50,3.50,3,0.10,4,14.12
0.71,710.50,269.50,220.50,3.50,4,0.10,4,13.79
0.71,710.50,269.50,220.50,3.50,5,0.10,4,14.20
0.69,735.00,294.00,220.50,3.50,2,0.10,4,14.29
0.69,735.00,294.00,220.50,3.50,3,0.10,4,14.49
0.69,735.00,294.00,220.50,3.50,4,0.10,4,14.42
0.69,735.00,294.00,220.50,3.50,5,0.10,4,14.73
0.66,759.50,318.50,220.50,3.50,2,0.10,4,14.86
0.66,759.50,318.50,220.50,3.50,3,0.10,4,14.67
0.66,759.50,318.50,220.50,3.50,4,0.10,4,15.00
0.66,759.50,318.50,220.50,3.50,5,0.10,4,14.83
0.64,784.00,343.00,220.50,3.50,2,0.10,4,19.24
0.64,784.00,343.00,220.50,3.50,3,0.10,4,19.25
0.64,784.00,343.00,220.50,3.50,4,0.10,4,19.42
0.64,784.00,343.00,220.50,3.50,5,0.10,4,19.48
0.62,808.50,367.50,220.50,3.50,2,0.10,4,14.37
0.62,808.50,367.50,220.50,3.50,3,0.10,4,14.34
0.62,808.50,367.50,220.50,3.50,4,0.10,4,14.28
0.62,808.50,367.50,220.50,3.50,5,0.10,4,14.47
0.98,514.50,294.00,110.25,7.00,2,0.10,5,25.64
0.98,514.50,294.00,110.25,7.00,3,0.10,5,25.98
0.98,514.50,294.00,110.25,7.00,4,0.10,5,25.88
0.98,514.50,294.00,110.25,7.00,5,0.10,5,26.18
0.90,563.50,318.50,122.50,7.00,2,0.10,5,29.82
0.90,563.50,318.50,122.50,7.00,3,0.10,5,29.52
0.90,563.50,318.50,122.50,7.00,4,0.10,5,34.45
0.90,563.50,318.50,122.50,7.00,5,0.10,5,33.01
0.86,588.00,294.00,147.00,7.00,2,0.10,5,25.82
0.86,588.00,294.00,147.00,7.00,3,0.10,5,27.33
0.86,588.00,294.00,147.00,7.00,4,0.10,5,32.04
0.86,588.00,294.00,147.00,7.00,5,0.10,5,31.28
0.82,612.50,318.50,147.00,7.00,2,0.10,5,25.11
0.82,612.50,318.50,147.00,7.00,3,0.10,5,24.77
0.82,612.50,318.50,147.00,7.00,4,0.10,5,28.88
0.82,612.50,318.50,147.00,7.00,5,0.10,5,27.69
0.79,637.00,343.00,147.00,7.00,2,0.10,5,34.99
0.79,637.00,343.00,147.00,7.00,3,0.10,5,34.18
0.79,637.00,343.00,147.00,7.00,4,0.10,5,43.14
0.79,637.00,343.00,147.00,7.00,5,0.10,5,41.26
0.76,661.50,416.50,122.50,7.00,2,0.10,5,34.25
0.76,661.50,416.50,122.50,7.00,3,0.10,5,34.35
0.76,661.50,416.50,122.50,7.00,4,0.10,5,33.64
0.76,661.50,416.50,122.50,7.00,5,0.10,5,33.88
0.74,686.00,245.00,220.50,3.50,2,0.10,5,13.65
0.74,686.00,245.00,220.50,3.50,3,0.10,5,13.44
0.74,686.00,245.00,220.50,3.50,4,0.10,5,13.72
0.74,686.00,245.00,220.50,3.50,5,0.10,5,13.50
0.71,710.50,269.50,220.50,3.50,2,0.10,5,14.18
0.71,710.50,269.50,220.50,3.50,3,0.10,5,13.75
0.71,710.50,269.50,220.50,3.50,4,0.10,5,14.26
0.71,710.50,269.50,220.50,3.50,5,0.10,5,13.89
0.69,735.00,294.00,220.50,3.50,2,0.10,5,14.55
0.69,735.00,294.00,220.50,3.50,3,0.10,5,14.28
0.69,735.00,294.00,220.50,3.50,4,0.10,5,14.46
0.69,735.00,294.00,220.50,3.50,5,0.10,5,14.39
0.66,759.50,318.50,220.50,3.50,2,0.10,5,14.54
0.66,759.50,318.50,220.50,3.50,3,0.10,5,14.81
0.66,759.50,318.50,220.50,3.50,4,0.10,5,14.65
0.66,759.50,318.50,220.50,3.50,5,0.10,5,14.87
0.64,784.00,343.00,220.50,3.50,2,0.10,5,19.24
0.64,784.00,343.00,220.50,3.50,3,0.10,5,19.18
0.64,784.00,343.00,220.50,3.50,4,0.10,5,19.26
0.64,784.00,343.00,220.50,3.50,5,0.10,5,19.29
0.62,808.50,367.50,220.50,3.50,2,0.10,5,14.24
0.62,808.50,367.50,220.50,3.50,3,0.10,5,13.97
0.62,808.50,367.50,220.50,3.50,4,0.10,5,13.99
0.62,808.50,367.50,220.50,3.50,5,0.10,5,14.15
0.98,514.50,294.00,110.25,7.00,2,0.25,1,29.79
0.98,514.50,294.00,110.25,7.00,3,0.25,1,29.79
0.98,514.50,294.00,110.25,7.00,4,0.25,1,29.28
0.98,514.50,294.00,110.25,7.00,5,0.25,1,29.49
0.90,563.50,318.50,122.50,7.00,2,0.25,1,36.12
0.90,563.50,318.50,122.50,7.00,3,0.25,1,33.17
0.90,563.50,318.50,122.50,7.00,4,0.25,1,32.71
0.90,563.50,318.50,122.50,7.00,5,0.25,1,37.58
0.86,588.00,294.00,147.00,7.00,2,0.25,1,33.98
0.86,588.00,294.00,147.00,7.00,3,0.25,1,28.61
0.86,588.00,294.00,147.00,7.00,4,0.25,1,30.12
0.86,588.00,294.00,147.00,7.00,5,0.25,1,34.73
0.82,612.50,318.50,147.00,7.00,2,0.25,1,30.17
0.82,612.50,318.50,147.00,7.00,3,0.25,1,27.84
0.82,612.50,318.50,147.00,7.00,4,0.25,1,27.25
0.82,612.50,318.50,147.00,7.00,5,0.25,1,31.39
0.79,637.00,343.00,147.00,7.00,2,0.25,1,43.80
0.79,637.00,343.00,147.00,7.00,3,0.25,1,37.81
0.79,637.00,343.00,147.00,7.00,4,0.25,1,36.85
0.79,637.00,343.00,147.00,7.00,5,0.25,1,45.52
0.76,661.50,416.50,122.50,7.00,2,0.25,1,36.85
0.76,661.50,416.50,122.50,7.00,3,0.25,1,37.58
0.76,661.50,416.50,122.50,7.00,4,0.25,1,37.45
0.76,661.50,416.50,122.50,7.00,5,0.25,1,36.62
0.74,686.00,245.00,220.50,3.50,2,0.25,1,15.19
0.74,686.00,245.00,220.50,3.50,3,0.25,1,15.50
0.74,686.00,245.00,220.50,3.50,4,0.25,1,15.28
0.74,686.00,245.00,220.50,3.50,5,0.25,1,15.50
0.71,710.50,269.50,220.50,3.50,2,0.25,1,15.42
0.71,710.50,269.50,220.50,3.50,3,0.25,1,15.85
0.71,710.50,269.50,220.50,3.50,4,0.25,1,15.44
0.71,710.50,269.50,220.50,3.50,5,0.25,1,15.81
0.69,735.00,294.00,220.50,3.50,2,0.25,1,15.21
0.69,735.00,294.00,220.50,3.50,3,0.25,1,15.63
0.69,735.00,294.00,220.50,3.50,4,0.25,1,15.48
0.69,735.00,294.00,220.50,3.50,5,0.25,1,15.78
0.66,759.50,318.50,220.50,3.50,2,0.25,1,16.39
0.66,759.50,318.50,220.50,3.50,3,0.25,1,16.27
0.66,759.50,318.50,220.50,3.50,4,0.25,1,16.39
0.66,759.50,318.50,220.50,3.50,5,0.25,1,16.19
0.64,784.00,343.00,220.50,3.50,2,0.25,1,21.13
0.64,784.00,343.00,220.50,3.50,3,0.25,1,21.19
0.64,784.00,343.00,220.50,3.50,4,0.25,1,21.09
0.64,784.00,343.00,220.50,3.50,5,0.25,1,21.08
0.62,808.50,367.50,220.50,3.50,2,0.25,1,15.77
0.62,808.50,367.50,220.50,3.50,3,0.25,1,15.95
0.62,808.50,367.50,220.50,3.50,4,0.25,1,15.77
0.62,808.50,367.50,220.50,3.50,5,0.25,1,15.76
0.98,514.50,294.00,110.25,7.00,2,0.25,2,29.62
0.98,514.50,294.00,110.25,7.00,3,0.25,2,29.69
0.98,514.50,294.00,110.25,7.00,4,0.25,2,30.18
0.98,514.50,294.00,110.25,7.00,5,0.25,2,30.02
0.90,563.50,318.50,122.50,7.00,2,0.25,2,35.56
0.90,563.50,318.50,122.50,7.00,3,0.25,2,32.64
0.90,563.50,318.50,122.50,7.00,4,0.25,2,32.77
0.90,563.50,318.50,122.50,7.00,5,0.25,2,37.72
0.86,588.00,294.00,147.00,7.00,2,0.25,2,33.37
0.86,588.00,294.00,147.00,7.00,3,0.25,2,27.89
0.86,588.00,294.00,147.00,7.00,4,0.25,2,29.90
0.86,588.00,294.00,147.00,7.00,5,0.25,2,34.52
0.82,612.50,318.50,147.00,7.00,2,0.25,2,28.27
0.82,612.50,318.50,147.00,7.00,3,0.25,2,26.96
0.82,612.50,318.50,147.00,7.00,4,0.25,2,26.72
0.82,612.50,318.50,147.00,7.00,5,0.25,2,29.88
0.79,637.00,343.00,147.00,7.00,2,0.25,2,43.86
0.79,637.00,343.00,147.00,7.00,3,0.25,2,37.41
0.79,637.00,343.00,147.00,7.00,4,0.25,2,36.77
0.79,637.00,343.00,147.00,7.00,5,0.25,2,45.97
0.76,661.50,416.50,122.50,7.00,2,0.25,2,36.87
0.76,661.50,416.50,122.50,7.00,3,0.25,2,37.35
0.76,661.50,416.50,122.50,7.00,4,0.25,2,37.28
0.76,661.50,416.50,122.50,7.00,5,0.25,2,36.81
0.74,686.00,245.00,220.50,3.50,2,0.25,2,14.73
0.74,686.00,245.00,220.50,3.50,3,0.25,2,15.10
0.74,686.00,245.00,220.50,3.50,4,0.25,2,15.18
0.74,686.00,245.00,220.50,3.50,5,0.25,2,15.44
0.71,710.50,269.50,220.50,3.50,2,0.25,2,14.91
0.71,710.50,269.50,220.50,3.50,3,0.25,2,15.40
0.71,710.50,269.50,220.50,3.50,4,0.25,2,14.94
0.71,710.50,269.50,220.50,3.50,5,0.25,2,15.32
0.69,735.00,294.00,220.50,3.50,2,0.25,2,15.52
0.69,735.00,294.00,220.50,3.50,3,0.25,2,15.85
0.69,735.00,294.00,220.50,3.50,4,0.25,2,15.66
0.69,735.00,294.00,220.50,3.50,5,0.25,2,15.99
0.66,759.50,318.50,220.50,3.50,2,0.25,2,15.89
0.66,759.50,318.50,220.50,3.50,3,0.25,2,15.85
0.66,759.50,318.50,220.50,3.50,4,0.25,2,16.22
0.66,759.50,318.50,220.50,3.50,5,0.25,2,15.87
0.64,784.00,343.00,220.50,3.50,2,0.25,2,20.47
0.64,784.00,343.00,220.50,3.50,3,0.25,2,20.56
0.64,784.00,343.00,220.50,3.50,4,0.25,2,20.48
0.64,784.00,343.00,220.50,3.50,5,0.25,2,20.43
0.62,808.50,367.50,220.50,3.50,2,0.25,2,15.32
0.62,808.50,367.50,220.50,3.50,3,0.25,2,15.64
0.62,808.50,367.50,220.50,3.50,4,0.25,2,15.14
